Financial Year,Room Type,Town,Latitude,Longitude,Remaining Lease,Distance From Nearest Hawker,Distance From Nearest Park,Distance To Nearest Mall,Distance To Nereast School,Hawker,School,Shopping Mall,Max Selling Price,Min Selling Price,Average Selling Price
1/1/2008,1,Punggol,1.404546728,103.902052,86,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,107000,82000,94500
1/1/2008,2,Punggol,1.404546728,103.902052,86,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,211000,135000,173000
1/1/2008,3,Punggol,1.404546728,103.902052,86,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,327000,223000,275000
1/1/2008,4,Punggol,1.404546728,103.902052,86,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,428000,305000,366500
1/1/2009,1,Punggol,1.404546728,103.902052,87,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,114000,89000,101500
1/1/2009,2,Punggol,1.404546728,103.902052,87,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,188000,151000,169500
1/1/2009,3,Punggol,1.404546728,103.902052,87,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,322000,234000,278000
1/1/2009,4,Punggol,1.404546728,103.902052,87,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,409000,332000,370500
1/1/2010,2,Punggol,1.404546728,103.902052,88,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,237000,150000,193500
1/1/2010,3,Punggol,1.404546728,103.902052,88,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,376000,243000,309500
1/1/2010,4,Punggol,1.404546728,103.902052,88,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,458000,330000,394000
1/1/2011,1,Punggol,1.404546728,103.902052,89,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,111000,85000,98000
1/1/2011,2,Punggol,1.404546728,103.902052,89,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,242000,150000,196000
1/1/2011,3,Punggol,1.404546728,103.902052,89,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,390000,257000,323500
1/1/2011,4,Punggol,1.404546728,103.902052,89,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,484000,335000,409500
1/1/2012,1,Punggol,1.404546728,103.902052,90,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,130000,104000,117000
1/1/2012,2,Punggol,1.404546728,103.902052,90,5.33130432,0.776697213,0.208847827,0.381140764,Market Street Food Centre,Punggol View Primary School,Waterway Point,247000,163000,205000
